source_path	classification	destination	sha256	rationale
public/word-lists/bundled/manifest.json	transform	bootstrap/source-data/word-lists/manifest.json	4dc7cd30e3972b94d4435096081ba3cfc0ca6fcd099e9971d2ce63d4b7382561	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_10.json	transform	bootstrap/source-data/word-lists/words_length_10.json	c464b479fd63f05f826b170b7f0a783f4ebfedfccf3de2520fe205ec6dbdf924	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_11.json	transform	bootstrap/source-data/word-lists/words_length_11.json	f7f8d333ebd2c93955ae4d28be519db4ea86628e074ba653dad7c6f9db4a9362	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_12.json	transform	bootstrap/source-data/word-lists/words_length_12.json	43be6c20ac26926a38bbdcbcce5df798e18511d686415a79bc56d0768b08541b	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_13.json	transform	bootstrap/source-data/word-lists/words_length_13.json	b870605e9e280a5dff6274197df7d8bd23df9189a79a74903119159245f80ba6	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_14.json	transform	bootstrap/source-data/word-lists/words_length_14.json	feda4352a14741f055579c78d505e0cb131e6918bea7fb10fa113a0b6f0ec65a	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_15.json	transform	bootstrap/source-data/word-lists/words_length_15.json	72aa20c955c3e67b31d3ba96514ccb2d249f5d3f062f1df68810da892020e6af	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_16.json	transform	bootstrap/source-data/word-lists/words_length_16.json	cde30cf81440e41898266cbee3710231ed147f7ef33758e2307b05eb49cd54b9	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_17.json	transform	bootstrap/source-data/word-lists/words_length_17.json	5faf1f70f5de03c42ed569ace7e06c0a478596a7755b357d51e35d7166095d1b	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_18.json	transform	bootstrap/source-data/word-lists/words_length_18.json	b7dcfbe425c4c6cc0f85fe1ecad76521924372c4311fbcf9480e13572ab0c708	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_19.json	transform	bootstrap/source-data/word-lists/words_length_19.json	c6527dc835776a22874592ff09261cb7c79b6ac96952b6fe60a5287213005d22	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_2.json	transform	bootstrap/source-data/word-lists/words_length_2.json	45a011d8ae2b06d0c201be59e1138e3206f935793e582f00bc46dc892102a363	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_20.json	transform	bootstrap/source-data/word-lists/words_length_20.json	ff138b61fe2b4e4d373d387ad60fe8aa9b2c0d49243446f196255ab1bef06250	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_21.json	transform	bootstrap/source-data/word-lists/words_length_21.json	123d1de4531b3b9e3d001c96aff2d192639914be70e1d78c0fc68abc39e497ae	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_22.json	transform	bootstrap/source-data/word-lists/words_length_22.json	642a284e9b215a3af565ae924870ccd21388e4d08db637c14306af0c4ab7358f	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_23.json	transform	bootstrap/source-data/word-lists/words_length_23.json	1580c96bed0bdfb64f4b6f647209e3aececfe15743eab7b9232c89c8847dcbb8	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_24.json	transform	bootstrap/source-data/word-lists/words_length_24.json	52eb8fb0de604cba503077b0bb253a02c39aee8761b072433e10271e4ab12e64	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_25.json	transform	bootstrap/source-data/word-lists/words_length_25.json	c202bf3b00f754962df1f76921acf095b22d0076b9dbdc5e7baa51192307c2e3	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_26.json	transform	bootstrap/source-data/word-lists/words_length_26.json	d4e83daccc817b9419ff91a3e341260d0c73f715575c27f39fff4cdf3febf8cf	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_27.json	transform	bootstrap/source-data/word-lists/words_length_27.json	03f8f33ae15def423c0d41642e0d567d712457ef459a854a95ee3033d600f47f	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_28.json	transform	bootstrap/source-data/word-lists/words_length_28.json	a2ebdbffd9ae3de6f6e1b27c478a22e06f96d6c43d72bf829120485d06309582	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_29.json	transform	bootstrap/source-data/word-lists/words_length_29.json	329d12fef0f8c08802f2fe23d81194d8511a11147647f30ecebd81eef2aa4b63	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_3.json	transform	bootstrap/source-data/word-lists/words_length_3.json	d4d14336cb2ec61833d6b6cf905b7342359a479194242fdb6ee96c2f9a27dbf3	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_30.json	transform	bootstrap/source-data/word-lists/words_length_30.json	1f9ee33aa2d7fd808250ff82066eb44016541591667944bbfe50e85fe52733e8	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_31.json	transform	bootstrap/source-data/word-lists/words_length_31.json	121bf604a0e0e62e074e9267aa58749625be08dc33e2bf3d106c1502db750f55	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_32.json	transform	bootstrap/source-data/word-lists/words_length_32.json	9617806224e729cca6e6abe984fcaadb3788d42b87e11fcdb48636fec763e46c	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_33.json	transform	bootstrap/source-data/word-lists/words_length_33.json	8139faf55bde1ae052385af5d54f5c1273380949a8d0c48f12e90df69ef1845c	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_34.json	transform	bootstrap/source-data/word-lists/words_length_34.json	e49d5784edfcb9a9091b768d8e8a24d094d3d337d4e61cb42a063119b4c21ecb	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_35.json	transform	bootstrap/source-data/word-lists/words_length_35.json	19cbb0bdc9eb67274f992bb96507578947133282b633f1249c04e4a0aff91301	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_4.json	transform	bootstrap/source-data/word-lists/words_length_4.json	68eb0a0ce6f5ccee7c42366a25cb3b7696d83c16b2238fb4926707902cb77cd6	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_5.json	transform	bootstrap/source-data/word-lists/words_length_5.json	f86ea8f09c2261f9d5b7e0495a004f2b55e90ffd225f2a742b1131a57fa415fb	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_6.json	transform	bootstrap/source-data/word-lists/words_length_6.json	576a396289de47ccbd3863d6597feaccc610d4abfbd7e09ae68f0aeb073ea793	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_7.json	transform	bootstrap/source-data/word-lists/words_length_7.json	28b944107b3759e649ac291ed423eb75254c525061eb63c63ca3a4dc7541cfe5	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_8.json	transform	bootstrap/source-data/word-lists/words_length_8.json	496c4300d7513a09f0ab28abaf8bf35074f475523131dcb27ae3737c4b2ebe49	byte-preserved source data moved outside public web root
public/word-lists/bundled/words_length_9.json	transform	bootstrap/source-data/word-lists/words_length_9.json	017e6d3afe713b7100af613376f3cdd92ad848f57b1809cb9c46801c7589750d	byte-preserved source data moved outside public web root
quality/checkpoint-1-visual-comparison.md	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:quality/checkpoint-1-visual-comparison.md	7e598bd6797a491f573b13be0c06d2fbd9ad1675bfd2c29a8222a3a869c5ee36	rejected application, test, fixture, API, visual, or governance evidence
quality/checkpoint-2-visual-comparison.md	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:quality/checkpoint-2-visual-comparison.md	ffe999b073a0fb3c7414fcc937ba8e46c57a925dfa473f2de611ca36d7dea9b6	rejected application, test, fixture, API, visual, or governance evidence
quality/existing-backend-preview-visual-comparison.md	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:quality/existing-backend-preview-visual-comparison.md	f1bb698d4c2a5b406548bdef8e061e80b203e835c5d7e7900cc54ab8f30fdf4c	rejected application, test, fixture, API, visual, or governance evidence
quality/full-shell-multiplayer-parity-visual-comparison.md	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:quality/full-shell-multiplayer-parity-visual-comparison.md	1a2e64dac81d5f6a0868e6c296f6792e8d7b792e5a2e79b9d7e655521e1fc3c8	rejected application, test, fixture, API, visual, or governance evidence
quality/shell-parity-registry.json	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:quality/shell-parity-registry.json	f6a4eb157b84fc86790815ffb9d99f5accfb8134d5650881e09b52fca6a47ed3	rejected application, test, fixture, API, visual, or governance evidence
scripts/check-build.mjs	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:scripts/check-build.mjs	f452d346916913d9376feea42c5b0f58596ea653ca4beace8ddae45d5ed08536	obsolete application/build machinery; recovery only
scripts/generate-authoritative-word-catalog.mjs	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:scripts/generate-authoritative-word-catalog.mjs	b2b66d4900a52e059e840a7aaaf0dc499f64a3962d798d58225bded92577a2ea	obsolete application/build machinery; recovery only
scripts/require-preview-environment.mjs	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:scripts/require-preview-environment.mjs	5d00dd8979245afe849743ac290ac22535ba6a85f11028b62378a0f327a0aad4	obsolete application/build machinery; recovery only
scripts/require-rc-environment.mjs	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:scripts/require-rc-environment.mjs	8274b7b0623167765aa17233a9ac33f313dd43ac39852291ee4e60d53581f2fe	obsolete application/build machinery; recovery only
scripts/scan-boundaries.mjs	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:scripts/scan-boundaries.mjs	cd3d8106696fad8815023bb549928ee0fdea07a1390b273122a93ff989e702df	obsolete application/build machinery; recovery only
scripts/service-check-env.mjs	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:scripts/service-check-env.mjs	c1d27d827a9ea4694600e864f620c902a91c322b87fd92195720d487ec8539e9	obsolete application/build machinery; recovery only
scripts/sync-bundled-word-lists.mjs	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:scripts/sync-bundled-word-lists.mjs	e2465a591a4e7c341b4e1a14031306e603008c77818df6124d9731bfad460822	obsolete application/build machinery; recovery only
scripts/verify-migrations.mjs	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:scripts/verify-migrations.mjs	00ffbe84778d6cdc4d01f91eda69c3ee42f4641c2bd4bee3a9965f0b85b02027	obsolete application/build machinery; recovery only
scripts/verify-parity-registry.mjs	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:scripts/verify-parity-registry.mjs	08e2541c06d644bef9e1fd0d4fd74da58f8d179def024ad3a428911366ba473d	obsolete application/build machinery; recovery only
scripts/verify-preview-parity.mjs	remove	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:scripts/verify-preview-parity.mjs	0d78adcd73976f7f622a16b227c5da1622f15bdec0266800fbd8e7ceea18ebd6	obsolete application/build machinery; recovery only
src/app/AppShell.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/app/AppShell.tsx	4ce7893429ae064a79e10ca86e81da909e6d2f3910823f7d74afaaad8580f685	rejected application, test, fixture, API, visual, or governance evidence
src/app/AuthContext.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/app/AuthContext.tsx	46a01b8bc62c075a6035f584a2b5d851a3eee0551171601c9ad1137080d1b49c	rejected application, test, fixture, API, visual, or governance evidence
src/app/LegacyRedirect.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/app/LegacyRedirect.tsx	e295a9bfa87ea16a8efa90ce9d1c8936ad543f6c67de13b7d62860bffa42a06c	rejected application, test, fixture, API, visual, or governance evidence
src/app/PlayerStateProvider.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/app/PlayerStateProvider.tsx	1aa8b54a4b6f0bc9f82a04ec61add00c8d8c61bfc8dd9a0986c2dbe5a66466dd	rejected application, test, fixture, API, visual, or governance evidence
src/app/RuntimeProviders.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/app/RuntimeProviders.tsx	e76e2a4cfefe4014cf4a0ab64b8795fc9fde650e7c9f114fb673433dd80abed1	rejected application, test, fixture, API, visual, or governance evidence
src/app/RuntimeStatusPanel.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/app/RuntimeStatusPanel.tsx	d9d250f2467854f1d9726f90cb7f6eb00b80b7119bfab576fee5c90f73e3a587	rejected application, test, fixture, API, visual, or governance evidence
src/app/auth-context.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/app/auth-context.ts	0148848267fd0557554fdf4a510f71bbc597ef37d20537ef17b3dc61f8167a85	rejected application, test, fixture, API, visual, or governance evidence
src/app/conceptCoverage.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/app/conceptCoverage.ts	a1f3e198f80469ed479482e8b18e0766942274670863514d7908ae39750f922b	rejected application, test, fixture, API, visual, or governance evidence
src/app/player-state-context.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/app/player-state-context.ts	6963a9ff98d6976386745d19073c23b853653be1c7fb03a892bf75098373b506	rejected application, test, fixture, API, visual, or governance evidence
src/app/router.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/app/router.tsx	549db0b5e30211d510e8dad8db3d7b24db67b2880c2258bef56ff8e88038c2bf	rejected application, test, fixture, API, visual, or governance evidence
src/components/Button.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/Button.tsx	385e6c4899006490e6723be60c478d155b6e0cce7eb4f8951ad3892c1a2abc23	rejected application, test, fixture, API, visual, or governance evidence
src/components/Disclosure.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/Disclosure.tsx	562a554948ed00e5c16c6f1a5ff4bc6c942600aa9c2e498810dc3ab6c51a2d49	rejected application, test, fixture, API, visual, or governance evidence
src/components/GameBoard.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/GameBoard.tsx	352b7b6aeffea63259a52422d4762fac735e8095c7a2e358080efa943819ad60	rejected application, test, fixture, API, visual, or governance evidence
src/components/Icon.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/Icon.tsx	3d4c853425325cf597d99e16ac24be248aa17fb56c038492a1bafb2ee7ffde94	rejected application, test, fixture, API, visual, or governance evidence
src/components/Surface.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/Surface.tsx	fd63323aa247fe2a9746fd8e05d1164f05994b6234fc1e52a5bab33c4c1bf8cb	rejected application, test, fixture, API, visual, or governance evidence
src/components/gameBoardData.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/gameBoardData.ts	a8ec5d588ba4040f0f075a711d96992d0795fad9795d9748ee7efb79fcb9ccbb	rejected application, test, fixture, API, visual, or governance evidence
src/components/keyboard/Keyboard.module.css	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/keyboard/Keyboard.module.css	6918b43a03422a761ee891e258e6829580092f7dcf76a0c5084092e47a9dcfbe	rejected application, test, fixture, API, visual, or governance evidence
src/components/keyboard/Keyboard.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/keyboard/Keyboard.tsx	7c1bf27dc987d8c852018a6d2fba3a03effec8b698bf4c614200c903dbec17fb	rejected application, test, fixture, API, visual, or governance evidence
src/components/keyboard/keyboard-model.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/keyboard/keyboard-model.ts	b69afa1f8f3171878369fba92929c74c7cb0a94a112232d226543f1fa21c113f	rejected application, test, fixture, API, visual, or governance evidence
src/components/keyboard/keyboard-theme.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/keyboard/keyboard-theme.ts	aebc7996dd313cd292ace6d4c5e89c9947aa1ef63a5a8b7603811ada03f55df0	rejected application, test, fixture, API, visual, or governance evidence
src/components/keyboard/useKeyboardInput.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/components/keyboard/useKeyboardInput.ts	3dfe8ac7c4cdbb90c9294e2170ebee58ad13807425f004948163480226721b2a	rejected application, test, fixture, API, visual, or governance evidence
src/domain/combat-presentation.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/combat-presentation.ts	1bce9b81cb85c20ff519efad0b8a92baae4ebf07bcdbb1420ba4dd548f106341	rejected application, test, fixture, API, visual, or governance evidence
src/domain/combat.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/combat.ts	1565588eb32729f27cdfccc53ee77f0b35fa288cd33636b04c04594a8b715ed6	rejected application, test, fixture, API, visual, or governance evidence
src/domain/daily.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/daily.ts	892e0d49a875b07483ecd259efed8f61a7e6b1d59ef8638951015246174d6c58	rejected application, test, fixture, API, visual, or governance evidence
src/domain/economy.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/economy.ts	a6179b4f15957119c718d21a448e380ca8297233e6b21204e18cbd15ca926b72	rejected application, test, fixture, API, visual, or governance evidence
src/domain/game.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/game.ts	d335ffe774ce1f8377f1a744aff1baa0604d7e00e1255e4bafb9b7ac5b6b1869	rejected application, test, fixture, API, visual, or governance evidence
src/domain/go.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/go.ts	13fff77520a3313144089af10dec388679fba8980e94d914938681ee5d727f15	rejected application, test, fixture, API, visual, or governance evidence
src/domain/practice-combat-preview.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/practice-combat-preview.ts	0d21cca42d7edc4b1db3394a28866ea27300aaf6c98f32bc514b3446058d242a	rejected application, test, fixture, API, visual, or governance evidence
src/domain/progression.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/progression.ts	02f92ee67b77769f8a785b241522325cdbe4e74830b5be495c0bc0e43426468a	rejected application, test, fixture, API, visual, or governance evidence
src/domain/solo-completion-ledger.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/solo-completion-ledger.ts	b625aaf09466cc283ab7f9e6dcddae9b685141aa2228dec95f8513119a68cad3	rejected application, test, fixture, API, visual, or governance evidence
src/domain/solo-results.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/solo-results.ts	84ade76c129e2eae4868516922eea72fa874b03c007093f12afde405e888c3a5	rejected application, test, fixture, API, visual, or governance evidence
src/domain/words.ts	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/domain/words.ts	aa86a9be6a22ef2bd0f835f85a8bb991d6833ded125e70d2820dc8b78e6441e3	rejected application, test, fixture, API, visual, or governance evidence
src/features/admin/AdminPage.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/features/admin/AdminPage.tsx	8b499b7a6f866b3c75c3733ebd29a61ba12e0bacc56f5fccf06d974493b6cfb5	rejected application, test, fixture, API, visual, or governance evidence
src/features/calendar/CalendarPage.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/features/calendar/CalendarPage.tsx	030d8563297de06d0ec06a0d1ae269b7afc820ae7a778694584442a4ca278357	rejected application, test, fixture, API, visual, or governance evidence
src/features/combat/CombatMatchPage.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/features/combat/CombatMatchPage.tsx	c1cab2388a02a45465a76d9f41fba9ff0405b2ca07679102e3b5d5e2b0c98136	rejected application, test, fixture, API, visual, or governance evidence
src/features/combat/CombatPage.tsx	golden-only	golden:amordle-pre-terminal-greenfield-golden-2026-07-26:src/features/combat/CombatPage.tsx	0e595a9dea1c8455fac647ceb8a5ea9d83fafef11536152b86eed2d2d98e1192	rejected application, test, fixture, API, visual, or governance evidence
